genome,merit,merit_given,gen,nutrients_consumed_mean,moves_off_path_mean,map_idx, seed
"[95]LMcHNhMHNfcoGcsvccbctnNbMcFoobgNcPcFHJcBcPcaaGKcyKcRcofcxcHzHLNcczRxncKsEcocucgcentcvEccfHcwdLf",2.276e+07,77936.9,308,271,36,3, 195
"[102]qfCjGzOwffofydCFddNIKfAzmwCQvwefirlvHFyKHLRhoeDkiMMqPLAwEvQGJeavveForfhFrcKepgnKtKcHPDnhcJjcHHnHHNHBNG",3.4141e+07,1.49468e+07,2387,259,28,2, 196
"[86]hcwvOKHwponpfvlcucLccHwfcPcicgsHcFcdwcckccccnNcKxcQMOorfcccaNFcwcqmpcHihcocJcwlHRicccy",3.68209e+08,9466.76,337,594,353,0, 197
"[102]jcaeHRclczeRRmRPKuKHRcdHHuiDfApGsnEhzPBuRBgJwyeOxvnOpjvfByizvOctKoILcglHjeoatsHoEpfbPQJKJgHOFoPHCcchJH",4.10289e+10,1.97873e+08,2073,446,91,1, 198
"[101]FDcCcjtocPcHHtLgciHcxcANGAAjcaKcCcvmJmbQcsaCcsdclaNOjcFeHcHjKkKcMbbsccswkarFcCxJlncxQBCcmnrzwcFcwczcm",1.62559e+11,126784,266,547,172,1, 199
"[98]vbMLKgyrJgBwdzdsFKiFPHuPQrkyJcwHvdzFONBHMvxzostHMcKOlzFdudfPPcccfcaccHMvhKmcxcCvjLIEwMfqNpzGrOhLGh",1.00499e+07,861605,733,220,23,0, 2
"[100]bOQccpJQOckRyCmaHnccccJzavJcnfaHcLDcccaicegtFaccNLzxccctccncRcecPaRwcvcDcdctcclcemuHncceKcRzccMccoQJ",6.21178e+20,67068.5,160,696,111,0, 20
"[89]cdbPHPcctPrJcHOHvfqxfkLmPMEmmeQQzfHgKHpdsdNaprFcbFnoHMcJyrNHcHJcFBcPcDFcDnPapczicpDLIHMbG",2.44554e+08,60725.6,572,287,51,0, 200
"[98]cuHcccOwcJQgwFsmHnccakHFyccAKcqgcHcpNFbcoccKpPMGiAyHNcKcAQNccdHqcCkmlmvigJccprcNcnCfcctocAeyucccch",1.31307e+09,252745,213,344,39,1, 21
"[90]KJfaNzPHavpGwdCKrnnNfPHrhFOqbmdvQiJvcdcEwjceHcfKHoAucHmOPKwbHpnEPzpvHpFmHcOojqedwEqRcAGsbr",2.88046e+08,2.67698e+06,782,255,17,0, 22
"[100]ixccczzxHDccckucCccHuFlcDJcccGHwlxmJLxcaNchwMccdpaMcucHOHeMNMfcwfJbnnccKccMcfcncHnvDcLHuicMuHpcccpxr",1.13622e+07,232884,286,342,106,1, 23
"[96]qyOtFDLrfncPfhdEjclcshvcccKczJfHLcnceJcnccjcaclcbKczcCqJixiHcccAPczicecLezocJlQcecoHecDccHcBcHDG",1.78454e+17,1.067e+09,242,845,316,2, 24
"[85]LrxezJxNaNNzdbmFctsvQccccxQyhKcncHnHpbzedBcqcczCctLHMEAHBtsdcuHRnawAzFrPPLqdmcQcjefOG",9.05895e+08,1.9556e+06,595,303,51,0, 25
"[103]HBeHlcpcccccPbccdcJcHlcsDxagchcJcaMBkkvlocakcvruufvLHccQcGocpBccNsccOccvFccnHsHajHNmcclicwHzcHxcaHkkQaG",3.39274e+08,240595,335,276,36,0, 26
"[100]ccsMcstcBcccccccHcccccFcJggncvccccuhcutccccccHcAcuDcchcccccHccAcKKxcccccccRMcAccczHciccEccCccbcRKccG",7.06682e+08,688.077,91,304,8,1, 27
"[107]LKcQJfcccPvccJHHDccteccdcQmJnQbccbclnotwcHtHLxczcPcrpccbccPHqccilcheoHhnocckccRcRcJccCwNMzLtyvrGlcPpOROsyoE",1.39423e+07,102127,209,385,184,0, 28
"[101]oQFPciOzOzmscFOPbadnqccKgclFbPgcccvJKtFpAOveAzrMMicDGincHcQchHEicdOcaQtcBHPLHHppwjvccpdcchypphqklGOiL",1.22572e+09,861605,406,493,189,1, 29
"[100]kEnrchxLMrpEclKgFcKHrKcaHFdcficxvcAxgfBfxFcaHQcfjFlHJHzqccFRvKHdfMGHhwEbwpesPylPaqPlhJofFckbMikKFpJv",1.87233e+07,111493,375,239,16,2, 3
